Data;E;P;Q
01/10/2013;4,351053844;21,95651237;50,00032609
02/10/2013;4,351053844;0,770590181;42,29011765
03/10/2013;4,351053844;2,720007522;36,61989011
04/10/2013;4,351053844;1,098777971;36,41946237
05/10/2013;4,351053844;5,971341338;39,52267442
06/10/2013;4,351053844;0,064497999;37,68658824
07/10/2013;4,351053844;1,886342101;37,77170455
08/10/2013;4,351053844;1,248010571;43,81037037
09/10/2013;4,351053844;2,304403551;49,03305263
10/10/2013;4,351053844;3,333889256;66,62077778
11/10/2013;4,351053844;5,700693786;88,75252747
12/10/2013;4,351053844;4,212128084;89,44173913
13/10/2013;4,351053844;1,473487839;72,54369565
14/10/2013;4,351053844;2,784378433;62,52505495
15/10/2013;4,351053844;16,94191772;65,84870968
16/10/2013;4,351053844;1,769783177;98,4252809
17/10/2013;4,351053844;0,299831171;99,68077778
18/10/2013;4,351053844;0,046127872;99,34771739
19/10/2013;4,351053844;3,594319978;111,5251613
20/10/2013;4,351053844;1,356352585;134,0898649
21/10/2013;4,351053844;2,899295294;124,7786842
22/10/2013;4,351053844;1,235050848;124,2293976
23/10/2013;4,351053844;0,974745312;126,2656627
24/10/2013;4,351053844;4,503328521;112,3336047
25/10/2013;4,351053844;5,022578664;93,44393258
26/10/2013;4,351053844;0,070220668;72,13758242
27/10/2013;4,351053844;15,95092854;57,5248913
28/10/2013;4,351053844;17,55657107;61,44465116
29/10/2013;4,351053844;7,659712619;90,90097826
30/10/2013;4,351053844;5,334635989;78,88202247
31/10/2013;4,351053844;11,40438674;70,99604396
01/11/2013;4,099061527;3,97761133;75,65413793
02/11/2013;4,099061527;12,68173344;93,04071429
03/11/2013;4,099061527;23,03938925;122,9548913
04/11/2013;4,099061527;0,082886848;167,5775325
05/11/2013;4,099061527;0;172,8928916
06/11/2013;4,099061527;0;179,743908
07/11/2013;4,099061527;0;191,222234
08/11/2013;4,099061527;0;194,6410227
09/11/2013;4,099061527;0,220478385;195,0241791
10/11/2013;4,099061527;0,043075907;169,94075
11/11/2013;4,099061527;0,460410268;140,1787097
12/11/2013;4,099061527;35,5352098;115,420625
13/11/2013;4,099061527;7,512341263;96,3432967
14/11/2013;4,099061527;1,777316398;84,48849462
15/11/2013;4,099061527;1,645836027;101,997125
16/11/2013;4,099061527;7,185895438;159,4303371
17/11/2013;4,099061527;13,61732799;175,5244828
18/11/2013;4,099061527;0,332341594;193,9555
19/11/2013;4,099061527;6,598966825;192,8328571
20/11/2013;4,099061527;6,184489954;185,1494872
21/11/2013;4,099061527;18,36022891;182,8922727
22/11/2013;4,099061527;2,674619715;169,9342105
23/11/2013;4,099061527;0,51421778;191,8471739
24/11/2013;4,099061527;0,167589681;193,274717
25/11/2013;4,099061527;0,032044681;173,3912308
26/11/2013;4,099061527;7,662864502;180,8092308
27/11/2013;4,099061527;1,662690372;189,3174444
28/11/2013;4,099061527;2,937465137;200,5528049
29/11/2013;4,099061527;0,252078007;182,6586207
30/11/2013;4,099061527;12,62038332;159,6053947
01/12/2013;3,861420288;26,40073622;154,3952083
02/12/2013;3,861420288;4,124167899;173,7098387
03/12/2013;3,861420288;16,26157463;213,5322857
04/12/2013;3,861420288;23,87265284;241,3226761
05/12/2013;3,861420288;0,339244296;458,9827536
06/12/2013;3,861420288;0,89725107;562,6465333
07/12/2013;3,861420288;2,988921668;584,4295349
08/12/2013;3,861420288;6,296009239;513,957
09/12/2013;3,861420288;8,520829728;403,7278313
10/12/2013;3,861420288;0,046813779;316,7171429
11/12/2013;3,861420288;0,016022341;267,8153763
12/12/2013;3,861420288;8,05663264;228,3960215
13/12/2013;3,861420288;5,037728455;208,2802247
14/12/2013;3,861420288;15,86686861;193,6634737
15/12/2013;3,861420288;5,525961984;284,5450633
16/12/2013;3,861420288;5,666602565;379,2859341
17/12/2013;3,861420288;3,268634401;345,5582955
18/12/2013;3,861420288;0,542398473;296,5137079
19/12/2013;3,861420288;6,361942355;275,2331111
20/12/2013;3,861420288;11,04968809;269,2502174
21/12/2013;3,861420288;6,986852185;280,2175294
22/12/2013;3,861420288;0,387106032;351,411
23/12/2013;3,861420288;11,800366;379,8213636
24/12/2013;3,861420288;6,530594128;496,9192771
25/12/2013;3,861420288;2,713108432;570,5060227
26/12/2013;3,861420288;1,326558397;542,5054651
27/12/2013;3,861420288;9,044716112;544,4069565
28/12/2013;3,861420288;0,091783187;582,9394186
29/12/2013;3,861420288;0,062150213;560,8361628
30/12/2013;3,861420288;0,016022341;482,2290361
31/12/2013;3,861420288;0,402310264;391,8442529
01/01/2014;3,679725305;2,177726052;327,4178313
02/01/2014;3,679725305;1,546513454;289,5695349
03/01/2014;3,679725305;2,812600532;267,9866667
04/01/2014;3,679725305;22,076905;264,1231111
05/01/2014;3,679725305;0,231291608;288,4052874
06/01/2014;3,679725305;1,99719315;291,7548315
07/01/2014;3,679725305;6,531503602;333,5195062
08/01/2014;3,679725305;12,23508294;444,3673333
09/01/2014;3,679725305;11,71847379;584,0546667
10/01/2014;3,679725305;1,336578681;652,7375904
11/01/2014;3,679725305;4,41386239;650,6532584
12/01/2014;3,679725305;14,70966219;631,8778889
13/01/2014;3,679725305;0,204470037;777,3171951
14/01/2014;3,679725305;2,562703493;861,6295506
15/01/2014;3,679725305;0,842969188;901,202625
16/01/2014;3,679725305;7,412681176;816,3749451
17/01/2014;3,679725305;8,126248821;738,5264444
18/01/2014;3,679725305;3,465283998;798,8790909
19/01/2014;3,679725305;8,042257342;1005,067303
20/01/2014;3,679725305;0,400038693;1287,27907
21/01/2014;3,679725305;1,725098847;1310,058118
22/01/2014;3,679725305;5,651483598;1165,69878
23/01/2014;3,679725305;5,25215666;963,1032967
24/01/2014;3,679725305;8,703998457;840,9163333
25/01/2014;3,679725305;0,066139843;780,9346739
26/01/2014;3,679725305;25,70991457;757,2391579
27/01/2014;3,679725305;9,975265499;740,7677647
28/01/2014;3,679725305;3,014769299;791,1658889
29/01/2014;3,679725305;10,25168678;942,4066667
30/01/2014;3,679725305;8,519794214;1126,473882
31/01/2014;3,679725305;7,07604565;1426,771707
01/02/2014;3,771519503;1,725538726;1732,46593
02/02/2014;3,771519503;4,489361747;1892,234943
03/02/2014;3,771519503;10,68577591;1991,837391
04/02/2014;3,771519503;3,015671583;2039,655287
05/02/2014;3,771519503;10,82088838;1985,407841
06/02/2014;3,771519503;0,214304041;1946,772143
07/02/2014;3,771519503;0,023063936;1954,846047
08/02/2014;3,771519503;2,358256589;1966,405632
09/02/2014;3,771519503;11,63349812;1968,792706
10/02/2014;3,771519503;16,61868435;1868,11325
11/02/2014;3,771519503;0,643468466;1627,482472
12/02/2014;3,771519503;27,51111365;1586,286517
13/02/2014;3,771519503;2,099207146;1629,635921
14/02/2014;3,771519503;18,25257258;1740,177816
15/02/2014;3,771519503;14,08299983;1836,122593
16/02/2014;3,771519503;0,058580042;1876,399277
17/02/2014;3,771519503;7,678050728;1930,41061
18/02/2014;3,771519503;0,030105532;2022,919737
19/02/2014;3,771519503;0,204656635;2104,397711
20/02/2014;3,771519503;4,443999279;2167,124944
21/02/2014;3,771519503;5,227868775;2192,518462
22/02/2014;3,771519503;21,08230638;2085,911789
23/02/2014;3,771519503;2,949382975;1832,041494
24/02/2014;3,771519503;2,339599031;1672,793529
25/02/2014;3,771519503;1,189665505;1752,988182
26/02/2014;3,771519503;0,061029173;1949,371277
27/02/2014;3,771519503;0,545688479;2074,803263
28/02/2014;3,771519503;7,415024217;2021,350778
01/03/2014;3,855633097;1,661575998;1924,59925
02/03/2014;3,855633097;0,804824268;1767,513636
03/03/2014;3,855633097;0,534125441;1583,178851
04/03/2014;3,855633097;16,26901788;1507,501412
05/03/2014;3,855633097;0,023063936;1680,867586
06/03/2014;3,855633097;1,897750748;1827,883258
07/03/2014;3,855633097;3,550341854;1997,261978
08/03/2014;3,855633097;2,30654793;2173,34427
09/03/2014;3,855633097;9,985523726;2346,3425
10/03/2014;3,855633097;0,661967668;2537,801026
11/03/2014;3,855633097;2,341712233;2629,680909
12/03/2014;3,855633097;8,474760874;2664,535541
13/03/2014;3,855633097;2,069869047;2471,631429
14/03/2014;3,855633097;2,842114778;2329,909205
15/03/2014;3,855633097;1,189430016;2065,113171
16/03/2014;3,855633097;5,225638258;1866,737391
17/03/2014;3,855633097;2,815230582;1701,266071
18/03/2014;3,855633097;8,721364566;1467,532292
19/03/2014;3,855633097;0,12259612;1322,887531
20/03/2014;3,855633097;1,312815875;1210,571383
21/03/2014;3,855633097;1,34116832;1084,660521
22/03/2014;3,855633097;0,487415274;901,2998958
23/03/2014;3,855633097;29,39535991;882,17
24/03/2014;3,855633097;0,022248425;1256,636875
25/03/2014;3,855633097;0,82439832;1262,607396
26/03/2014;3,855633097;33,76710529;1274,738438
27/03/2014;3,855633097;4,463825729;1443,837396
28/03/2014;3,855633097;4,21105213;1602,048958
29/03/2014;3,855633097;0,364938827;1710,793125
30/03/2014;3,855633097;1,894523984;1788,456875
31/03/2014;3,855633097;3,993167228;1820,497917
01/04/2014;3,728521503;0,771339543;1718,612813
